Year;NHDC;Partos_vag;Cesareas
2013;302;90;61
2013;682;0;0
2013;279;1651;758
2013;282;1310;925
2013;281;583;470
2013;183;0;0
2013;610;0;0
2013;116;0;0
2013;115;0;0
2013;114;0;0
2013;126;0;0
2013;119;0;0
2013;770;1061;381
2013;583;0;0
2013;136;0;0
2013;469;118;67
2013;642;789;205
2013;674;2383;812
2013;193;0;0
2013;526;1329;422
2013;698;0;0
2013;630;1214;301
2013;124;0;0
2013;364;0;0
2013;604;1368;489
2013;123;0;0
2013;310;0;0
2013;571;561;135
2013;296;0;0
2013;566;572;145
2013;784;1864;512
2013;102;0;0
2013;379;0;0
2013;639;1235;299
2013;457;0;0
2013;609;1757;933
2013;101;0;0
2013;454;505;147
2013;318;0;0
2013;600;748;194
2013;545;1136;159
2013;100;0;0
2013;702;1238;407
2013;778;965;308
2013;341;0;0
2013;99;0;0
2013;767;0;0
2013;359;0;0
2013;98;0;0
2013;132;0;0
2013;97;0;0
2013;103;0;0
2013;110;0;0
2013;94;0;0
2013;91;0;0
2013;664;971;256
2013;918;2061;734
2013;92;0;0
2013;95;0;0
2013;96;0;0
2013;301;0;0
2013;492;468;95
2013;811;200;134
2013;812;0;0
2013;832;0;0
2013;841;0;0
2013;856;0;0
2013;859;0;0
2013;861;0;0
2013;880;0;0
2013;883;0;0
2013;884;0;0
2013;877;0;0
2013;911;0;0
2013;913;0;0
2013;922;0;0
2013;923;0;0
2013;924;0;0
2013;947;0;0
2013;951;0;0
2013;1103;0;0
2013;972;0;0
2013;973;0;0
2013;974;0;0
2013;975;0;0
2013;960;0;0
2013;1028;0;0
2013;976;0;0
2013;977;0;0
2013;1020;0;0
2013;994;900;154
2013;995;0;0
2013;1060;0;0
